Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Haldina cordifolia,bark,IMPHY008973,"methyl (1S,15S,16S,17S,21S)-17-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-18,23-dioxa-3,13-diazahexacyclo[13.7.1.01,13.02,10.04,9.016,21]tricosa-2(10),4,6,8,19-pentaene-20-carboxylate",ISBN:9788185042114
Haldina cordifolia,bark,IMPHY011741,Tannic acid,"ISBN:9788172361266, ISBN:9788172361792, ISBN:9789327275590"
Haldina cordifolia,leaf,IMPHY004619,Quercetin,ISBN:9789327275590
Haldina cordifolia,leaf,IMPHY011880,Ursolic acid,"ISBN:9770972795006, ISBN:9788185042145, ISBN:9789327275590"
Haldina cordifolia,leaf,IMPHY014935,Hyperoside,ISBN:9788185042145
Haldina cordifolia,root,IMPHY014296,Apiosylskimmin,"ISBN:9770972795006, ISBN:9788172361792, ISBN:9788185042114"
Haldina cordifolia,stem,IMPHY001796,"5,7-Dihydroxy-3,3',4',5'-tetramethoxyflavone",ISBN:9788172361792
Haldina cordifolia,stem,IMPHY006972,1-Octacosanol,ISBN:9770972795006
Haldina cordifolia,stem,IMPHY011619,alpha-Amyrin,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY000977,Adifoline,"ISBN:9770972795006, ISBN:9770976605004, ISBN:9788172360481, ISBN:9788185042053"
Haldina cordifolia,wood,IMPHY001796,"5,7-Dihydroxy-3,3',4',5'-tetramethoxyflavone",ISBN:9788185042114
Haldina cordifolia,wood,IMPHY001896,Heptacosane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY002919,Lignan,ISBN:9788172361792
Haldina cordifolia,wood,IMPHY002962,Benzoic acid,ISBN:9770972795006
Haldina cordifolia,wood,IMPHY004388,Kaempferol,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY004425,Gossypetin,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY005513,Chrysin,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY005587,Umbelliferone,"ISBN:9770972795006, ISBN:9788172360481"
Haldina cordifolia,wood,IMPHY008910,Hentriacontane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009377,Pentacosane,"ISBN:9770972795006, ISBN:9788185042138"
Haldina cordifolia,wood,IMPHY009382,Heneicosane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009482,Nonacosane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009483,Tritriacontane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009485,Pentatriacontane,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009490,Tricosane,"ISBN:9770972795006, ISBN:9788172362089, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY009807,Naringenin 5-O-neohesperidoside,"ISBN:9770972795006, ISBN:9788185042114"
Haldina cordifolia,wood,IMPHY010642,10-Deoxycordifoline,"ISBN:9788172360481, ISBN:9788185042053"
Haldina cordifolia,wood,IMPHY010682,"1-[[(2S,3R,4S)-3-ethenyl-5-methoxycarbonyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-4-yl]methyl]-6-hydroxy-9H-pyrido[3,4-b]indole-3-carboxylic acid","ISBN:9770972795006, ISBN:9788172360481, ISBN:9788185042053"
Haldina cordifolia,wood,IMPHY014836,beta-Sitosterol,"ISBN:9770972795006, ISBN:9788172361792, ISBN:9788172362089, ISBN:9788185042114"
