Indian_medicinal_plant,Plant_part,IMPPAT_Phytochemical_identifier,Phytochemical_name,References
Curcuma aromatica,leaf,IMPHY000061,Patchouli alcohol,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY000084,2-Heptanol,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209, ISBN:9770972795006"
Curcuma aromatica,leaf,IMPHY000099,Myrtenol,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY000399,beta-Bisabolene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY000602,M-Cymene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY001246,Carvacrol,DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY001351,Elemicin,"DOI:10.1080/10412905.1996.9701031, ISBN:9770972795006"
Curcuma aromatica,leaf,IMPHY002825,2-(4-Methylphenyl)propan-2-ol,DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY003104,Decanoic acid,"DOI:10.1080/10412905.1996.9701031, ISBN:9770972795006"
Curcuma aromatica,leaf,IMPHY003485,Myrcene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY003789,Furanodienon,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY003977,(-)-beta-Bourbonene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY003982,gamma-Terpinene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY004521,alpha-Patchoulene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY004542,3-Methyl-1-(3-methylfuran-2-yl)butan-1-one,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY004549,Safrole,"DOI:10.1080/10412905.1996.9701031, ISBN:9770972795006"
Curcuma aromatica,leaf,IMPHY005042,Bisacumol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY005618,Germacrene B,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY006145,p-Cymene,"DOI:10.1080/0972-060x.2004.10643404,DOI:10.1080/10412905.1996.9701031"
Curcuma aromatica,leaf,IMPHY006325,Myrtenal,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY006463,Germacrone,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY006696,Methyleugenol,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY006944,Estragole,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY006950,Tricyclene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY006992,1-Methylhexyl acetate,"DOI:10.1080/10412905.1999.9701209, ISBN:9770972795006"
Curcuma aromatica,leaf,IMPHY007110,Perilla ketone,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY009740,Camphene hydrate,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY010072,Eucalyptol,"DOI:10.1080/0972-060x.2004.10643404,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY010080,beta-Elemene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY010541,1-Bisabolone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY010611,Curzerene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY010676,(+)-Curcumenol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY010677,Curcuphenol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY010995,Toluene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011087,alpha-Turmerone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011392,3-Carene,DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY011396,4-Carvomenthenol,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011552,(1R)-2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011563,Curzerenone,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY011590,d-Borneol,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY011599,Terpinolene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011658,beta-Farnesene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011659,alpha-Muurolene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011745,Zingiberene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011761,Humulene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY011789,Citral,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011793,(+)-gamma-Cadinene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011957,(+)-delta-Cadinene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY011977,Epicurzerenone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY011999,Carveol,DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY012036,Camphor,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012058,Linalool,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012061,alpha-Pinene,"DOI:10.1080/0972-060x.2004.10643404,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012075,Carvone,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY012147,beta-Pinene,"DOI:10.1080/0972-060x.2004.10643404,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012160,alpha-Terpineol,"DOI:10.1080/0972-060x.2004.10643404,DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012165,Sabinene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012279,alpha-Curcumene,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY012305,beta-Patchoulene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY012381,ar-Turmerone,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY012589,"3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene",DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY012616,p-Menth-1(7)-en-2-one,DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY012667,Caryophyllene oxide,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY012907,trans-Sesquisabinene hydrate,DOI:10.1080/10412905.1999.9701209
Curcuma aromatica,leaf,IMPHY012921,gamma-Elemene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY013093,delta-Elemene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY014218,"(1R,4S,5R)-1,4-dimethyl-8-methylidene-2-oxabicyclo[3.2.1]octane",DOI:10.1080/0972-060x.2004.10643404
Curcuma aromatica,leaf,IMPHY014708,beta-Selinene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY014817,Aromadendrene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY014831,beta-Caryophyllene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY014835,(E)-beta-ocimene,DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY014852,Camphene,"DOI:10.1080/10412905.1996.9701031,DOI:10.1080/10412905.1999.9701209"
Curcuma aromatica,leaf,IMPHY014866,"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, acetate, cis-",DOI:10.1080/10412905.1996.9701031
Curcuma aromatica,leaf,IMPHY014876,7-epi-cis-Sesquisabinene hydrate,DOI:10.1080/10412905.1999.9701209
